event_date,year,event_type,sub_event_type,admin1,admin2,admin3,location,latitude,longitude,fatalities,notes,month
1999-08-09,1999,Battles,Armed clash,Oromia,Bale,Mena,Bale,6.4167,39.75,50,OLF claims victory in battle with Ethiopian military,8
1999-08-09,1999,Battles,Armed clash,Central Ethiopia,Kembata Tibaro,Kacha Bira,Mino,7.2333,37.7333,202,OLF claims victory in battle with Ethiopian military,8
1999-08-10,1999,Battles,Armed clash,Oromia,Arsi,Ziway Dugda,Ogolcho,8.0385,39.0158,0,Ethiopian military claims major victory against OLF,8
1999-08-11,1999,Battles,Armed clash,Oromia,Arsi,Ziway Dugda,Ogolcho,8.0385,39.0158,0,OLF and SLF claim massive victory in battle with Ethiopian military,8
1999-08-12,1999,Battles,Armed clash,Oromia,East Bale,Seweyna,Burka Dare,7.4833,41.55,25,OLF claims victory in battle with Ethiopian military,8
1999-08-13,1999,Battles,Armed clash,Somali,Afder,Charati,Haro Ararsa,5.2833,41.5667,53,OLF claims victory in battle with Ethiopian military,8
1999-08-13,1999,Battles,Armed clash,Oromia,Bale,Goro,Goro,6.9944,40.4826,35,OLF claims victory in battle with Ethiopian military,8
1999-08-14,1999,Battles,Armed clash,Oromia,Arsi,Ziway Dugda,Ogolcho,8.0385,39.0158,0,OLF and SLF claim massive victory in battle with Ethiopian military,8
1999-08-15,1999,Violence against civilians,Attack,Amhara,North Wello,Guba Lafto,Oromo,11.8667,39.7333,25,OLF claim that 25 civilians were killed by the army in August.,8
1999-08-19,1999,Battles,Armed clash,Oromia,Borena,Moyale,Moyale,3.5391,39.049,1,Kenyan security forces battle OLF fighters,8
1999-08-20,1999,Battles,Armed clash,Oromia,Borena,Guchi,Tuka,3.6333,38.8,105,OLF claims victory in battle with Ethiopian military,8
